,local_comp,dist_param
"New York, USA",127,0.7202062041288978
"San Francisco, USA",127,0.8094719621596773
"London, GBR",86,0.6087381051802471
"Chicago, USA",32,0.3605870092451125
"San Jose, USA",31,0.7936718628305861
"Tokyo, JPN",29,0.1
"Paris, FRA",29,0.5689527779835312
"Seattle, USA",25,0.1
"Beijing, CHN",21,0.1
"Austin, USA",20,0.1
"Los Angeles, USA",20,0.562872573904924
"San Mateo, USA",20,0.8183716195267812
"Singapore, SGP",18,0.1
"Shanghai, CHN",18,0.1
"Mountain View, USA",17,0.823823967045704
"Cambridge, USA",17,0.6086369769434281
"Palo Alto, USA",16,0.8237324609881684
"San Diego, USA",15,0.4185381440838583
"Santa Clara, USA",15,0.812496692923227
"Sunnyvale, USA",14,0.8235792639325478
"Bangalore, IND",14,0.1
"Madrid, ESP",14,0.1
"Berlin, DEU",14,0.2923575960956589
"Chennai, IND",13,0.1
"Boston, USA",12,0.608420594056505
"Toronto, CAN",12,0.45024313014705203
"Fremont, USA",12,0.8220903454219931
"Santa Monica, USA",12,0.569035745488191
"Mumbai, IND",11,0.1
"Irvine, USA",11,0.5226334520222252
"Amsterdam, NLD",11,0.5505807400621622
"Atlanta, USA",11,0.24224177569067704
"Scottsdale, USA",11,0.42199717629140016
"Reston, USA",10,0.533608118658283
